Hotel Name,Price Per Day,Final Price,Address,Rating,Link
Amsterdam Teleport Hotel,115,1964,Amsterdam,8.2,https://www.expedia.ca/Amsterdam-Hotels-Amsterdam-Teleport-Hotel.h11572822.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835223&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&neighborhoodId=553248635976382275&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=115&top_cur=CAD&userIntent=&selectedRoomType=321211415&selectedRatePlan=388210952&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Chalet with terrace near Amsterdam,148,2180,Amstelveen,6.8,https://www.expedia.ca/Amsterdam-Hotels-Practical-Chalet-With-Terrace.h90111866.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835274&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=148&top_cur=CAD&userIntent=&selectedRoomType=90111866&selectedRatePlan=000116781754e6e341edbd79237a2bc3931d&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Hotel Zwanenburg,150,2429,Zwanenburg,7.2,https://www.expedia.ca/Amsterdam-Hotels-Hotel-Zwanenburg.h1085647.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835228&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=150&top_cur=CAD&userIntent=&selectedRoomType=225601145&selectedRatePlan=244392112&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Moxy Amsterdam Schiphol Airport,166,2675,Hoofddorp,8.6,https://www.expedia.ca/Amsterdam-Hotels-Moxy-Amsterdam-Schiphol-Airport.h54025961.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835222&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=166&top_cur=CAD&userIntent=&selectedRoomType=213748250&selectedRatePlan=393963719&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Maxhotel Amsterdam Airport Schiphol,167,2702,Hoofddorp,8.4,https://www.expedia.ca/Amsterdam-Hotels-EasyHotel-Amsterdam-Airport-Schiphol.h37979620.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835250&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=167&top_cur=CAD&userIntent=&selectedRoomType=218456465&selectedRatePlan=276213332&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Bastion Hotel Amsterdam Airport,175,2824,Hoofddorp,7.6,https://www.expedia.ca/Amsterdam-Hotels-Bastion-Hotel-Amsterdam-Airport.h6237235.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835261&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=175&top_cur=CAD&userIntent=&selectedRoomType=200310939&selectedRatePlan=201882992&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Blue Mansion Hotel,180,2829,Aalsmeer,8.4,https://www.expedia.ca/Amsterdam-Hotels-Blue-Mansion-Hotel.h6269644.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835229&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=180&top_cur=CAD&userIntent=&selectedRoomType=200312585&selectedRatePlan=205888418&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
IntercityHotel Amsterdam Airport,176,2836,Hoofddorp,9.0,https://www.expedia.ca/Amsterdam-Hotels-IntercityHotel-Amsterdam-Airport.h71951953.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835222&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=176&top_cur=CAD&userIntent=&selectedRoomType=321308903&selectedRatePlan=388569899&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
IntercityHotel Amsterdam Airport,176,2836,Hoofddorp,9.0,https://www.expedia.ca/Amsterdam-Hotels-IntercityHotel-Amsterdam-Airport.h71951953.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835256&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&trackingData=AAAAAQAAAAEAAAAQ6NSjQz7lv9Pl0r6VhTprUpTrdJvlF6SRo3x8WW6XeZUVKvE9g8yr2lfs3Zc1KQoOXh3Td0kfpefZ3bU3nDJshbkHM9DGWHwDqCtY0qpTH6YvVbXU63jBiLrI1bYdO3THla3DN0yr5XdHoI9Lyix_11jMJOzFSQe1Tr2MEumag52BEG7dsjY9p2aMhYTYkxYVuPU6aWWTfDfmyP1BUsuFINEF4YZaDFv7zw3KtoNNfIrBkMgJzOkKw5Ta5KJnlsDCp5ozgSmcOfEt6rcTmVpQyKUVmCsqdxDftMTzP4KzmGU_TpIUDR1R8vtBarm36kuFPaI3Rfk0ntqiUG7B0MMuxX1AfgO9d0Nfp7AcN4SkfNFDnCWU65FsGcFknF40mlmz9xx74IcwRwECRnmettF7a9mEVqfUTrZw7v871bywD_Vgi82quIfRXieGE0piqPk-3Xhv1TnF47c6hJTs6nY7gjZF_iuJT2eiRo-NdV6GlpRK026XaEP8NWY6QMSrlRj14cs-Si7gUZQKPpPTeSz2rt8xn0j79tc7Et1lmh-zPJ9rreWw2WxpKDYRv2mzjcIwTlAuhm_g3K2chNR0vfYEVVnyRKucG63It37DafFTCSRzT9wb19am4f78vOFQ1siY2JDwYDAxSf0gUe74voxDK_sVpKVE6ZQVsxgVcl4_2qNbxuZc6Qf0zohUhYUv-wfvLO7X4_oGq9J75z7enMTqr3-SupE_Mun5EPKZ5bpgT94FL4YqCpTpQp5zYICCq-ITcDuLLhIfiYkOQUiJYe_rBcpzeE9cSTxNX9l8VubvnLeQKz59nO5qC1R0704eActfrBpbK7JjJQNbHNLT8lLxYDSOPK61i_YbTwG6Zs7X70nSfmo1Pe66Nwkn1fyI1XPY5sYWpxw6HJOjuqJqsSxhl5IyuS21gW6yES8lYpwzJq0MeLuYL0_RVFQrPcYHxEX5sx3HPdmeT2--DGemOcqei4UZvbG6yybX5DoJfllFJ4zhPk-Y_mIgEW54FiJxXGkmMQ4ayvZFwA7ImfLCE9BU71TEKcmxXNw42kMbCQWMwqF-WKPHSO6vqeXyB6KyZPVYdB5hFdeXJqKRtp8SQ8t_zAXEmZ_YbhLz7csNAO6RpIp-6xH_egClRSZ3eqhCcr045fhnDMlYNhysSCLxCwuICXoNLRAzC1V5XAEoyiVOl_tlI2McAi5c0Y1vboZYjJ_N7-nqKmRWHPugngVQTgnYCLU4m0HiohAnMD9MMnb4acvUXTK430MWXoUMBVur7SHEkAQmT6vVbg0F-X5LBlveGFdDCUbvmJU71E7U9F9jU86M1lfNXbTdyjnDbLUNYfghIAMugVhYUxaDkMff72NXo3BgI3Co-GelOyZKac8wZ-C5cKogl_wN_bBQBcT54sMjyhssPzE5Dkc7OsJOoEIBRkIh5gzSVWVPHsGP95CN_YQHac5cVvuEo35nuSA9dEs3Y2GsUvrclyf3sXESQEQqlZmKrDcZBtE2qzryzLKpVrHVWuMRYzHUS9WmPh9721byXlFbA4jNjYR2wHIzeHo8xr75K3nhlg54EdncBbd5b7ucuT_NpKSTwDuU9nzzDuIFpRHwHvoVMD51SDcza5r79VoZ4cOm27V_Reja2GINlcTSNjX3_KBjnAMdr3JNRUlo1GwbtguJ_uJ9lTqWYE8bwpEbsAh365e6QIvYt9znzFTZrJ31NUCr2XGTJkONuotU1VLLuEhP3KW6VZLGgz9mQfL75lFoixYe61hqBVEsHL0rGyvs7YtSBsWNqZun2047UpB6sbTnqTYoVVOJpZtejlrkeZEVDXNsPd-ku9b54HnCziYJliChsm5SxHB3rxryShCzlSkSxwxZEtXSnr1LEmfr10BuDIytOtiCz2WR6Jvzu1HgHM7Z9DciVSyml0VNdxJAdc9cjd3U5OzZSPnDrqQ86ldh4OyYemGguXUkDSI5kDKG7FN0D7VmmAwPAfgSIp3wunYIGqs56ZPIJHxOu7EKas7YcBNsYMZSFfzsUUfeOPKmHozR2RpBevNzmuSRRxXMNzxO3kpW1jX1HyxAM5fHd6hJK7SZLjz7HhP8MaqsMq2ajyGHLQpZwOg5sYnDRRoBBdXNUcXy3cG_7t6qlmmQ7VBZe-D8tjywbrwVg-Leu6SkBpNYuC8iLeZVPsdf3Jl4fUbppUnKFCKur349NtHpGbXA-JndNfdZ6wcvPNOWm-bMHzIXGqHPUBh4tFjej3BRLMml8hVVpHTFUf2imdEO-vK2zdclUqb3FCn05eM%3D&rank=11&testVersionOverride=Buttercup%2C39483.0.0%2C50206.169039.1%2C50028.0.0%2C50813.0.0%2C49817.165296.0%2C51642.162844.0%2C49460.165713.1%2C51690.163220.0%2C52131.163559.0%2C52527.167088.0%2C52789.167580.0%2C53217.0.0%2C50988.158353.0&slots=&position=59&beaconIssued=&sort=RECOMMENDED&top_dp=176&top_cur=CAD&userIntent=&selectedRoomType=321308903&selectedRatePlan=388569899&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
Best Western Plus Amsterdam Airport Hotel,180,2902,Hoofddorp,7.4,https://www.expedia.ca/Amsterdam-Hotels-Best-Western-Plus-Amsterdam-Airport-Hotel.h910272.Hotel-Information?chkin=2024-04-15&chkout=2024-04-29&x_pwa=1&rfrr=HSR&pwa_ts=1709261835234&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jYS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a1&regionId=178229&destination=Amsterdam+%28and+vicinity%29%2C+North+Holland%2C+Netherlands&destType=MARKET&latLong=52.37304%2C4.89237&sort=RECOMMENDED&top_dp=180&top_cur=CAD&userIntent=&selectedRoomType=28822&selectedRatePlan=201148162&searchId=8ea11350-e85d-48a2-b12b-2b759b0dd912
